"","Food code","Main food description","WWEIA Category code","WWEIA Category description","Energy (kcal)","Protein (g)","Carbohydrate (g)","Sugars, total (g)","Fiber, total dietary (g)","Total Fat (g)","Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Cholesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)","Lycopene (mcg)","Lutein + zeaxanthin (mcg)","Thiamin (mg)","Riboflavin (mg)","Niacin (mg)","Vitamin B-6 (mg)","Folic acid (mcg)","Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)","Vitamin B-12 (mcg)","Vitamin B-12, added (mcg)","Vitamin C (mg)","Vitamin D (D2 + D3) (mcg)","Vitamin E (alpha-tocopherol) (mg)","Vitamin E, added (mg)","Vitamin K (phylloquinone) (mcg)","Calcium (mg)","Phosphorus (mg)","Magnesium (mg)","Iron (mg)","Zinc (mg)","Copper (mg)","Selenium (mcg)","Potassium (mg)","Sodium (mg)","Caffeine (mg)","Theobromine (mg)","Alcohol (g)","4:0    (g)","6:0    (g)","8:0    (g)","10:0    (g)","12:0    (g)","14:0    (g)","16:0    (g)","18:0    (g)","16:1        (g)","18:1    (g)","20:1    (g)","22:1    (g)","18:2    (g)","18:3    (g)","18:4    (g)","20:4    (g)","20:5 n-3 (g)","22:5 n-3 (g)","22:6 n-3 (g)","Water (g)","Group"
"200",14107020,"Cheese, Mozzarella, whole milk",1602,"Cheese",300,22.17,2.19,1.03,0,22.35,13.152,6.573,0.765,79,174,179,0,57,0,0,0,0.03,0.283,0.104,0.037,0,7,7,7,15.4,2.28,0,0,0.4,0.19,0,2.3,505,354,20,0.44,2.92,0.011,17,76,627,0,0,0,0.805,0.446,0.257,0.582,0.69,2.189,5.331,2.442,0.597,5.649,0,0,0.393,0.372,0,0,0,0,0,50.01,"Dairy Foods"
"201",14107030,"Cheese, Mozzarella, part skim",1602,"Cheese",295,23.75,5.58,1.9,0,19.78,11.295,5.741,1.019,64,223,223,0,51,0,0,0,0.024,0.353,0.111,0.1,0,27,27,27,14.2,1.68,0,0,0.4,0.5,0,1.3,697,548,27,0.22,3.62,0.033,27.6,188,666,0,0,0,0.387,0.325,0.203,0.497,0.566,1.826,5.145,2.001,0.309,4.59,0.037,0,0.731,0.071,0,0.031,0.005,0.01,0,47.07,"Dairy Foods"
"202",14107040,"Cheese, Mozzarella, reduced sodium",1602,"Cheese",280,27.5,3.1,1.23,0,17.1,10.867,4.844,0.509,54,133,137,0,44,0,0,0,0.02,0.34,0.12,0.08,0,9,9,9,18.4,0.92,0,0,0.3,0.15,0,1.8,731,524,26,0.25,3.13,0.027,15.7,95,16,0,0,0,0.559,0.11,0.12,0.27,0.18,1.718,5.214,2.078,0.469,4.165,0,0,0.36,0.15,0,0,0,0,0,49.9,"Dairy Foods"
"203",14107060,"Cheese, Mozzarella, nonfat or fat free",1602,"Cheese",141,31.7,3.5,1.48,1.8,0,0,0,0,18,124,127,0,41,0,0,0,0.02,0.3,0.12,0.08,0,10,10,10,15.4,0.92,0,0,0,0.14,0,1.6,961,656,33,0.31,3.92,0.034,18.9,106,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.2,"Dairy Foods"
"204",14107200,"Cheese, Muenster",1602,"Cheese",368,23.41,1.12,1.12,0,30.04,19.113,8.711,0.661,96,297,298,0,13,0,0,0,0.013,0.32,0.103,0.056,0,12,12,12,15.4,1.47,0,0,0.6,0.26,0,2.5,717,468,27,0.41,2.81,0.031,14.5,134,628,0,0,0,1.042,0.243,0.275,0.586,0.367,3.072,9.218,3.569,0.973,7.338,0,0,0.431,0.23,0,0,0,0,0,41.77,"Dairy Foods"
"205",14107250,"Cheese, Muenster, reduced fat",1602,"Cheese",271,24.7,3.5,3.5,0,17.6,10.95,5.09,0.65,63,174,175,0,8,0,0,0,0.01,0.36,0.1,0.06,0,12,12,12,15.4,1.47,0,0,0.3,0.15,0,1.5,529,468,27,0.41,2.81,0.031,14.5,134,600,0,0,0,0.571,0.337,0.197,0.442,0.494,1.769,4.622,2.136,0.394,4.421,0.265,0,0.397,0.257,0,0,0,0,0,50.5,"Dairy Foods"
"206",14108010,"Cheese, Parmesan, dry grated",1602,"Cheese",420,28.42,13.91,0.07,0,27.84,15.371,7.13,1.386,86,255,262,0,73,0,0,0,0.026,0.358,0.08,0.081,0,6,6,6,14.1,1.4,0,0,0.5,0.53,0,1.7,853,627,34,0.49,4.2,0.04,34.4,180,1804,0,0,0,0.493,0.422,0.265,0.632,0.726,2.333,7.481,2.565,0.365,6.441,0.049,0.001,1.175,0.106,0,0.04,0,0.015,0,22.65,"Dairy Foods"
"207",14108015,"Cheese, Parmesan, dry grated, reduced fat",1602,"Cheese",395,34.21,26.96,0.78,0,16.42,9.24,4.288,0.786,53,147,151,0,43,0,0,0,0.038,0.204,0.14,0.09,0,16,16,16,14.8,1.25,0,0,0.2,0.28,0,1,826,664,37,2.74,3.6,0.03,38.8,390,1477,0,0,0,0.328,0.259,0.16,0.379,0.433,1.418,4.392,1.585,0.238,3.848,0.062,0,0.644,0.09,0,0.02,0,0.008,0,15.62,"Dairy Foods"
"208",14108020,"Cheese, Parmesan, hard",1602,"Cheese",392,35.75,3.22,0.8,0,25.83,16.41,7.515,0.569,68,201,207,0,66,0,0,0,0.039,0.332,0.271,0.091,0,7,7,7,15.4,1.2,0,0,0.5,0.22,0,1.7,1184,694,44,0.82,2.75,0.032,22.5,92,1376,0,0,0,1.299,0.487,0.26,0.648,0.873,2.911,6.966,2.301,0.394,6.656,0,0,0.272,0.297,0,0,0,0,0,29.16,"Dairy Foods"
"209",14108060,"Cheese, Parmesan, dry grated, fat free",1602,"Cheese",370,40,40,1.5,0,5,3.11,1.446,0.186,20,39,40,0,13,0,0,0,0.05,0.05,0.2,0.1,0,25,25,25,15.4,1.1,0,0,0,0.04,0,0.4,800,700,40,5,3,0.02,43.3,600,1150,0,0,0,0.162,0.096,0.056,0.126,0.14,0.502,1.303,0.606,0.112,1.256,0.076,0,0.113,0.073,0,0,0,0,0,8.6,"Dairy Foods"
"210",14108200,"Cheese, Port du Salut",1602,"Cheese",356,24.94,2.22,2.22,0,27.44,17.614,7.747,0.657,114,164,165,0,10,0,0,0,0.03,0.334,0.063,0.08,0,21,21,21,15.4,1.54,0,0,0.5,0.24,0,2.3,700,546,29,0.24,3.9,0.036,14.5,121,819,0,0,0,0.999,0.64,0.427,0.918,1.211,3.04,6.851,2.918,0.889,6.388,0,0,0.263,0.394,0,0,0,0,0,41.46,"Dairy Foods"
"211",14108400,"Cheese, Provolone",1602,"Cheese",351,25.58,2.14,0.56,0,26.62,17.078,7.393,0.769,69,230,236,0,68,0,0,0,0.019,0.321,0.156,0.073,0,10,10,10,15.4,1.46,0,0,0.5,0.23,0,2.2,756,496,28,0.52,3.23,0.026,14.5,138,876,0,0,0,0.981,0.37,0.256,0.482,0.355,2.748,8.159,3.063,0.878,6.164,0,0,0.494,0.275,0,0,0,0,0,40.95,"Dairy Foods"
